run_timestamp,model_type,scale_tag,split_mode,train_size,valid_size,train_time_range,valid_time_range,rent_best_iteration,return_best_iteration,rent_best_test,return_best_test,rent_final_metric,return_final_metric,rent_classifier_logloss,rent_regressor_poisson_pos,return_classifier_logloss,return_regressor_poisson_pos,cb_loss_function,cb_eval_metric,cb_learning_rate,cb_depth,cb_l2_leaf_reg,cb_od_wait,cb_iterations
auto_cb_20260417_111742_058,CB,all,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,125,116,-2.1348195066772098,-2.098658151760089,1.0659379795405655,1.1995301992952991,,,,,Poisson,Poisson,0.05,8,4.0,30,3000
auto_cb_20260417_111759_059,CB,all,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,117,128,-2.1334236166022373,-2.1147890217741465,1.0687298388088171,1.1672697129961342,,,,,Poisson,Poisson,0.05,8,5.0,15,3000
auto_cb_20260417_111815_060,CB,all,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,125,209,-2.1360655347624906,-2.1201410395800386,1.0634458891481895,1.1565648847093688,,,,,Poisson,Poisson,0.05,8,5.0,30,3000
auto_cb_20260417_111834_061,CB,all,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,95,80,-2.126022951077725,-2.1029254433169333,1.0835306273606486,1.190995968599932,,,,,Poisson,Poisson,0.05,9,3.0,15,3000
auto_cb_20260417_111850_062,CB,all,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,125,119,-2.130732278304926,-2.107260458765302,1.0741118566988785,1.182327517820821,,,,,Poisson,Poisson,0.05,9,3.0,30,3000
auto_cb_20260417_111911_063,CB,all,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,90,115,-2.129831504788262,-2.114971144131084,1.0759149134247776,1.1669040890359077,,,,,Poisson,Poisson,0.05,9,4.0,15,3000
auto_cb_20260417_111929_064,CB,all,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,130,115,-2.137885156753353,-2.114983270368418,1.0598080267993064,1.1668801923105188,,,,,Poisson,Poisson,0.05,9,4.0,30,3000
auto_cb_20260417_111951_065,CB,all,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,123,100,-2.1384065849587066,-2.1051525526415977,1.0587643565204734,1.1865412530182753,,,,,Poisson,Poisson,0.05,9,5.0,15,3000
auto_cb_20260417_112009_066,CB,all,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,123,113,-2.1385390583816553,-2.1060203794002224,1.058499231436123,1.1848065435138606,,,,,Poisson,Poisson,0.05,9,5.0,30,3000
auto_cb_20260417_112029_067,CB,all,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,97,114,-2.136701819027119,-2.1210855133104904,1.0621757037384834,1.1546763402653568,,,,,Poisson,Poisson,0.05,10,3.0,15,3000
auto_cb_20260417_112054_068,CB,all,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,97,171,-2.1367011326363263,-2.124049348752416,1.0621744026238165,1.1487485987939867,,,,,Poisson,Poisson,0.05,10,3.0,30,3000
auto_cb_20260417_112125_069,CB,all,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,125,116,-2.138430151042582,-2.1140962246676036,1.0587169724624297,1.1686555695443648,,,,,Poisson,Poisson,0.05,10,4.0,15,3000
auto_cb_20260417_112151_070,CB,all,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,187,116,-2.140759761392257,-2.114095995870673,1.0540564352857817,1.1686557602607057,,,,,Poisson,Poisson,0.05,10,4.0,30,3000
auto_cb_20260417_112223_071,CB,all,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,97,113,-2.1358031046828327,-2.114398923007087,1.0639728439146219,1.1680488175727057,,,,,Poisson,Poisson,0.05,10,5.0,15,3000
auto_cb_20260417_112249_072,CB,all,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,97,218,-2.1358015031043167,-2.1219274860159314,1.063975369207618,1.1529923663688861,,,,,Poisson,Poisson,0.05,10,5.0,30,3000
auto_cb_20260420_071548_001,CB_Hurdle,all,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,284,233,-5.470371918355125,-5.461321598552329,0.9961329029423156,1.0928750754310357,0.3021163621037556,1.1821307361565523,0.32821537016729113,1.2589927445203652,Poisson,Poisson,0.015,8,3.0,15,3000
auto_cb_20260420_071712_002,CB_Hurdle,all,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,284,233,-5.470371918355125,-5.461329861512783,0.9951011020763577,1.0928676527643937,0.3016647011008174,1.182129623170638,0.3282155555101423,1.2589747552619506,Poisson,Poisson,0.015,8,3.0,30,3000
auto_cb_20260420_071846_003,CB_Hurdle,all,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,286,233,-5.470511756828692,-5.461992447654145,0.9952501125285658,1.0943544919881645,0.30184257107420853,1.1818525509071387,0.32886615374903977,1.2576517683045652,Poisson,Poisson,0.015,8,4.0,15,3000
